n_samples,epsilon,run_idx,seed,dp_mse_truth,dp_runtime_s,timestamp
1200,1.0,7,1200107,0.0007915011803445764,0.06314579118043184,2026-04-30 20:35:45
1200,1.0,10,1200110,0.000554418837661965,0.04851383389905095,2026-04-30 20:35:45
1200,1.0,8,1200108,0.000508282860461859,0.05720037501305342,2026-04-30 20:35:45
1200,1.0,13,1200113,0.0005864457518892039,0.038740708027035,2026-04-30 20:35:45
1200,1.0,11,1200111,0.0005684361687282705,0.05782158300280571,2026-04-30 20:35:45
1200,1.0,12,1200112,0.0006790745651522192,0.04358487483114004,2026-04-30 20:35:45
1200,1.0,16,1200116,0.0010062730764302068,0.04055033391341567,2026-04-30 20:35:45
1200,1.0,14,1200114,0.0005307171363154852,0.049816417042165995,2026-04-30 20:35:45
1200,1.0,18,1200118,0.00041422778381338505,0.039277249947190285,2026-04-30 20:35:45
1200,1.0,15,1200115,0.0010103259317509748,0.05062383413314819,2026-04-30 20:35:45
1200,1.0,19,1200119,0.0007282041480014261,0.04066204093396664,2026-04-30 20:35:45
1200,1.0,17,1200117,0.0013232232595582361,0.053794290870428085,2026-04-30 20:35:45
2100,0.1,0,2100010,0.005585743973182812,0.05696404166519642,2026-04-30 20:35:52
2100,0.1,1,2100011,0.007571352224850277,0.05873241601511836,2026-04-30 20:35:52
2100,0.1,3,2100013,0.033938534273752145,0.05363416578620672,2026-04-30 20:35:52
2100,0.1,4,2100014,0.015540738949162754,0.05390904191881418,2026-04-30 20:35:52
2100,0.1,2,2100012,0.011339944419051373,0.06154679227620363,2026-04-30 20:35:52
2100,0.1,6,2100016,0.03376928872674016,0.04828008310869336,2026-04-30 20:35:52
2100,0.1,5,2100015,0.01199888068351786,0.05251754121854901,2026-04-30 20:35:52
2100,0.1,10,2100020,0.014026234904986399,0.047563415952026844,2026-04-30 20:35:52
2100,0.1,8,2100018,0.019284766792549063,0.06107637519016862,2026-04-30 20:35:52
2100,0.1,11,2100021,0.008017297392629472,0.056661666836589575,2026-04-30 20:35:52
2100,0.1,7,2100017,0.019640930339967583,0.07212870893999934,2026-04-30 20:35:52
2100,0.1,9,2100019,0.01132663162346418,0.0709071671590209,2026-04-30 20:35:52
