n_samples,epsilon,run_idx,seed,pms_mse_truth,pms_runtime_s,timestamp
1200,0.2,12,3200032,0.0008187804198106815,0.1029627500101924,2026-04-30 20:35:34
1200,0.2,13,3200033,0.0008187804198106815,0.10462695825845003,2026-04-30 20:35:34
1200,0.2,14,3200034,0.0008187804198106815,0.10638183308765292,2026-04-30 20:35:34
1200,0.2,15,3200035,0.0008187804198106815,0.10301916627213359,2026-04-30 20:35:34
1200,0.2,16,3200036,0.0008187804198106815,0.10387750016525388,2026-04-30 20:35:34
1200,0.2,17,3200037,0.0008187804198106815,0.10320762498304248,2026-04-30 20:35:35
1200,0.2,18,3200038,0.0008187804198106815,0.10355899995192885,2026-04-30 20:35:35
1200,0.2,19,3200039,0.0008187804198106815,0.10376812471076846,2026-04-30 20:35:35
1200,0.5,0,3200050,0.0008187804198106815,0.10433254204690456,2026-04-30 20:35:37
1200,0.5,1,3200051,0.0008187804198106815,0.10370891727507114,2026-04-30 20:35:37
1200,0.5,2,3200052,0.0008187804198106815,0.10407612519338727,2026-04-30 20:35:37
1200,0.5,3,3200053,0.0008187804198106815,0.10320391692221165,2026-04-30 20:35:37
1200,0.5,4,3200054,0.0008187804198106815,0.10345808416604996,2026-04-30 20:35:38
1200,0.5,5,3200055,0.0008187804198106815,0.10347687499597669,2026-04-30 20:35:38
1200,0.5,6,3200056,0.0008187804198106815,0.10386391682550311,2026-04-30 20:35:38
1200,0.5,7,3200057,0.0008187804198106815,0.1030248748138547,2026-04-30 20:35:38
1200,0.5,8,3200058,0.0008187804198106815,0.10374141670763493,2026-04-30 20:35:38
1200,0.5,9,3200059,0.0008187804198106815,0.10330845834687352,2026-04-30 20:35:38
1200,0.5,10,3200060,0.0008187804198106815,0.10314716584980488,2026-04-30 20:35:38
1200,0.5,11,3200061,0.0008187804198106815,0.10345933400094509,2026-04-30 20:35:38
1200,0.5,12,3200062,0.0008187804198106815,0.10335495881736279,2026-04-30 20:35:38
1200,0.5,13,3200063,0.0008187804198106815,0.10256166709586978,2026-04-30 20:35:38
